date,bank_name,close_price
12/28/2022,Citi,44.619999
12/28/2022,JPM,132.46001
12/28/2022,BAC,32.77
12/28/2022,WFC,41.119999
12/29/2022,Citi,45.16
12/29/2022,JPM,133.22
12/29/2022,BAC,33.139999
12/29/2022,WFC,41.330002
12/30/2022,Citi,45.23
12/30/2022,JPM,134.10001
12/30/2022,BAC,33.119999
12/30/2022,WFC,41.290001
1/3/2023,Citi,45.779999
1/3/2023,JPM,135.12
1/3/2023,BAC,33.509998
1/3/2023,WFC,41.790001
1/4/2023,Citi,46.959999
1/4/2023,JPM,136.38
1/4/2023,BAC,34.139999
1/4/2023,WFC,42.650002
1/5/2023,Citi,46.75
1/5/2023,JPM,135.35001
1/5/2023,BAC,34.07
1/5/2023,WFC,42.419998
1/6/2023,Citi,47.310001
1/6/2023,JPM,137.94
1/6/2023,BAC,34.41
1/6/2023,WFC,42.799999
1/9/2023,Citi,47.540001
1/9/2023,JPM,137.37
1/9/2023,BAC,33.889999
1/9/2023,WFC,42.389999
1/10/2023,Citi,48.189999
1/10/2023,JPM,138.60001
1/10/2023,BAC,34.119999
1/10/2023,WFC,42.360001
1/11/2023,Citi,48.709999
1/11/2023,JPM,139.63
1/11/2023,BAC,34.380001
1/11/2023,WFC,42.740002
1/12/2023,Citi,49.09
1/12/2023,JPM,139.49001
1/12/2023,BAC,34.470001
1/12/2023,WFC,42.830002
1/13/2023,Citi,49.919998
1/13/2023,JPM,143.00999
1/13/2023,BAC,35.23
1/13/2023,WFC,44.220001
1/17/2023,Citi,50.310001
1/17/2023,JPM,140.8
1/17/2023,BAC,34.52
1/17/2023,WFC,44.119999
1/18/2023,Citi,49.43
1/18/2023,JPM,136.57001
1/18/2023,BAC,33.720001
1/18/2023,WFC,43.380001
1/19/2023,Citi,49.369999
1/19/2023,JPM,134.75
1/19/2023,BAC,33.23
1/19/2023,WFC,42.950001
1/20/2023,Citi,51.09
1/20/2023,JPM,135.08
1/20/2023,BAC,33.849998
1/20/2023,WFC,43.919998
1/23/2023,Citi,51.98
1/23/2023,JPM,137.27
1/23/2023,BAC,34.32
1/23/2023,WFC,45.029999
1/24/2023,Citi,51.419998
1/24/2023,JPM,138.45
1/24/2023,BAC,34.57
1/24/2023,WFC,44.450001
1/25/2023,Citi,51.900002
1/25/2023,JPM,139.12
1/25/2023,BAC,34.869999
1/25/2023,WFC,45.34
1/26/2023,Citi,52.189999
1/26/2023,JPM,139.98
1/26/2023,BAC,35.34
1/26/2023,WFC,45.810001
1/27/2023,Citi,51.860001
1/27/2023,JPM,140.32001
1/27/2023,BAC,35.450001
1/27/2023,WFC,46.119999
1/30/2023,Citi,51.75
1/30/2023,JPM,139.13
1/30/2023,BAC,35.299999
1/30/2023,WFC,46.290001
1/31/2023,Citi,52.220001
1/31/2023,JPM,139.96001
1/31/2023,BAC,35.48
1/31/2023,WFC,46.869999
2/1/2023,Citi,52.150002
2/1/2023,JPM,139.59
2/1/2023,BAC,35.919998
2/1/2023,WFC,47.330002
2/2/2023,Citi,52.220001
2/2/2023,JPM,138.94
2/2/2023,BAC,36.130001
2/2/2023,WFC,47.23
2/3/2023,Citi,50.950001
2/3/2023,JPM,141.09
2/3/2023,BAC,36.43
2/3/2023,WFC,47.580002
2/6/2023,Citi,50.860001
2/6/2023,JPM,141.92
2/6/2023,BAC,36.369999
2/6/2023,WFC,47.68
2/7/2023,Citi,51.130001
2/7/2023,JPM,143.64999
2/7/2023,BAC,36.77
2/7/2023,WFC,48.130001
2/8/2023,Citi,51.150002
2/8/2023,JPM,142.64
2/8/2023,BAC,36.5
2/8/2023,WFC,48.25
2/9/2023,Citi,49.98
2/9/2023,JPM,140.42
2/9/2023,BAC,35.720001
2/9/2023,WFC,47.57
2/10/2023,Citi,50.110001
2/10/2023,JPM,141.03999
2/10/2023,BAC,35.580002
2/10/2023,WFC,47.509998
2/13/2023,Citi,51
2/13/2023,JPM,142.57001
2/13/2023,BAC,35.650002
2/13/2023,WFC,48.130001
2/14/2023,Citi,51.610001
2/14/2023,JPM,143.2
2/14/2023,BAC,35.619999
2/14/2023,WFC,48.5
